Date_Time,Water_Level
1/1/2020 3:11,0.8
1/1/2020 8:53,
1/1/2020 15:15,
1/1/2020 22:07,
1/2/2020 4:07,
1/2/2020 9:44,1.3
1/2/2020 16:01,
1/2/2020 22:56,
1/3/2020 5:13,0.8
1/3/2020 10:49,
1/3/2020 16:55,
1/3/2020 23:49,1.4
1/4/2020 6:25,
1/4/2020 12:06,1.2
1/4/2020 17:59,
1/5/2020 0:43,
1/5/2020 7:30,
1/5/2020 13:23,1.2
1/5/2020 19:05,
1/6/2020 1:36,
1/6/2020 8:25,0.6
1/6/2020 14:30,1.2
1/6/2020 20:06,
1/7/2020 2:26,1.5
1/7/2020 9:11,
1/7/2020 15:25,
1/7/2020 21:00,0.7
1/8/2020 3:13,
1/8/2020 9:53,
1/8/2020 16:12,
1/8/2020 21:50,
1/9/2020 3:58,
1/9/2020 10:33,0.3
1/9/2020 16:56,
1/9/2020 22:37,
1/10/2020 4:42,
1/10/2020 11:13,0.3
1/10/2020 17:39,
1/10/2020 23:22,0.6
1/11/2020 5:26,
1/11/2020 11:53,
1/11/2020 18:22,
1/12/2020 0:08,0.6
1/12/2020 6:11,1.7
1/12/2020 12:34,0.2
1/12/2020 19:06,
1/13/2020 0:54,
1/13/2020 6:56,
1/13/2020 13:16,0.2
1/13/2020 19:52,
1/14/2020 1:43,0.6
1/14/2020 7:44,
1/14/2020 14:00,
1/14/2020 20:39,
1/15/2020 2:35,
1/15/2020 8:35,1.5
1/15/2020 14:46,0.3
1/15/2020 21:30,1.6
1/16/2020 3:33,0.6
1/16/2020 9:31,1.4
1/16/2020 15:37,
1/16/2020 22:26,1.6
1/17/2020 4:39,0.7
1/17/2020 10:36,
1/17/2020 16:35,
1/17/2020 23:26,
1/18/2020 5:53,
1/18/2020 11:53,
1/18/2020 17:42,
1/19/2020 0:31,
1/19/2020 7:11,
1/19/2020 13:17,
1/19/2020 18:58,
1/20/2020 1:36,
1/20/2020 8:19,0.6
1/20/2020 14:35,
1/20/2020 20:11,
1/21/2020 2:36,
1/21/2020 9:15,
1/21/2020 15:39,
